rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
165,"spotify:track:53zusvCJkyGYjEZ6bnLIjh","Hà Anh Tuấn","Tháng Tư Là Lời Nói Dối Của Em","Yin Yang Media",49,196,62,"183122"
166,"spotify:track:7kgzRBNkBRArtTPkYjWLYT","14 Casper, Bon Nghiêm","bao tiền một mớ bình yên?","DANDERLÉON",9,185,261,"180826"
167,"spotify:track:25NLn8W1JxuVrXQTVrDA4c","Dfoxie37, myhoa, Tuann","hello em có khỏe không","Universal Music Indochina Distributed Labels",15,151,25,"179842"
168,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",11,169,152,"179713"
169,"spotify:track:527UV7H9SbnmTVkxBVg56X","Sơn Tùng M-TP","Chắc Ai Đó Sẽ Về","Universal Music Indochina Distributed Labels",126,195,37,"179317"
170,"spotify:track:3UJ2gSPFPSkPKZghRI8y1e","Dangrangto","Love is","MaiDao Music",10,97,82,"177478"
171,"spotify:track:1fFvYVg1v3rpUSqKNCUh7b","VCT","Người Bình Thường","Universal Music Indochina Distributed Labels",49,174,59,"177071"
172,"spotify:track:498g7npirihKT5MPdVSfb0","Hoàng Dũng","Phonecert","CAM, LIRICO",137,163,22,"174753"
173,"spotify:track:1mtmvJjTchdqDCoJbFv1Op","OgeNus, Dangrangto","Tuyển Bạn Gái","Universal Music Indochina Distributed Labels",40,158,6,"174367"
174,"spotify:track:6hUpxEKFSjS8metuA1yxlf","SOOBIN","Vai Lan Don Dua","Space Speakers",46,-1,243,"174222"
175,"spotify:track:3H6nzsPNMttEvUl3ai3xN8","Chillies","Vùng Ký Ức","WM Vietnam",1,190,129,"174125"
176,"spotify:track:1izPmgSW7FV6XFdEOiTvOY","Changg, Minh Huy","Em Không Hiểu","Universal Music Indochina Distributed Labels",27,-1,242,"173923"
177,"spotify:track:4D1eaEIisnWCVPMnYuMh7q","白浩贤BlueC","漫步香港1999","腾讯音乐人",13,166,14,"173879"
178,"spotify:track:1YG2V1ejfyoKgrPPGJDrVW","Dương Domic, Lou Hoàng","Pin Dự Phòng","DAO Entertainment",13,179,46,"170774"
179,"spotify:track:7AD5F85waSb3yZxZxEXhJM","Tóc Tiên, Touliver","Có Ai Thương Em Như Anh","Yin Yang Media",20,-1,146,"170680"
180,"spotify:track:3J06iY9IRWKr1H0zIxrUby","Orange, Hoàng Dũng","Khi Em Lớn","Universal Music Indochina",4,-1,224,"170450"
181,"spotify:track:5iMdP8UpQS4Vn43R30fhhs","Only C","Đau Để Trưởng Thành","Onlyc Entertainment",130,-1,19,"167907"
182,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",4,173,89,"167068"
183,"spotify:track:5YPU2SdqR2pOsfFs5AW25q","Rum, NIT","Kém Duyên","Rum",120,-1,7,"166331"
184,"spotify:track:08ULi904W2Po6pVj8nN7KC","GREY D, Chillies","đưa em về nhàa","Universal Music Indochina Distributed Labels",3,188,158,"165093"
185,"spotify:track:6UFvSmKzCZ16fxsybf4PhE","Nguyễn Trọng Tài, Don Raemo, Double X","HONGKONG1","T2B Media",150,150,12,"164699"
186,"spotify:track:7jLSThU5Kg1RWt19Leiaxm","RPT MCK, Trung Trần","Chìm Sâu","N0L4B3L",1,199,220,"164168"
187,"spotify:track:4FT18tLTmf3QNBzG5r6OTj","Đen, Ngọc Linh","Mười Năm (Lộn Xộn 3)","Đen",17,-1,132,"163660"
188,"spotify:track:4qYfRfSxsmhJ1WMaywtLyI","Wren Evans, itsnk","Từng Quen","Universal Music Indochina",1,177,123,"163492"
189,"spotify:track:5xuaCJaNAqRLwV7OO5zPiF","W/N, Duongg, Nâu","3 1 0 7 (feat. Duongg & Nâu)","HONG AN ENTERTAIMENT,.JSC",11,-1,290,"163324"
